threshold_pct,period,signals,bets,unfilled,partial,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,capital_usd
88,holdout,7023,6697,326,5367,0.8958314967672558,0.89547557,-0.000355910683934931,-0.014985074358937572,-0.027640177200113924,-0.0025789085459400197,-3535.915789879984,235962.51210932777
89,dev,17665,16834,831,13317,0.901714570094482,0.89960796,-0.0021066337751282837,0.0018203053048936606,-0.005912861611503848,0.008967257738061788,1167.5823487603134,641421.1646922175
89,holdout,7020,6660,360,5277,0.9042734092845394,0.90375376,-0.0005196555307856551,-0.008814917210543824,-0.020316578680168135,0.002233584342503291,-2109.794316472946,239343.6337608875
90,dev,17659,16757,902,13160,0.9093680187758351,0.9079788,-0.0013892636287324062,0.0034779125252793783,-0.0036915801350757373,0.010639680676361403,2234.9320498049797,642607.3207880495
90,holdout,7020,6641,379,5212,0.9122945358529362,0.91115797,-0.0011365777141016445,-0.009685231515768047,-0.020879112013179383,0.001041930993846106,-2385.230300515806,246274.99060115707
91,dev,17646,16697,949,12921,0.9191382638528883,0.91770977,-0.0014284956310520688,0.0008791110045074827,-0.005345264625516472,0.007299938843927334,578.4437514755457,657987.1580604499
91,holdout,7016,6591,425,5163,0.9215467183574743,0.9214838,-6.287675528945194e-05,0.0005657096245917648,-0.008783717890614858,0.009964209089631547,139.76523459290982,247061.79374934465
92,dev,17631,16608,1023,12782,0.9265299428189092,0.92401254,-0.002517418734130839,-0.0009355098305544303,-0.007467188352216171,0.0056504262967135305,-627.6890467268081,670959.3274448097
92,holdout,7014,6543,471,5081,0.9282905089824222,0.9279383,-0.0003522543591606167,-0.0010248063735459282,-0.009947649299478245,0.007748876587050343,-257.9080691596515,251665.1689696901
93,dev,17610,16463,1147,12528,0.9352552338960335,0.93294054,-0.0023147005788981463,-0.0003209136507516281,-0.0059964689033246985,0.005116374267509668,-218.20295203755313,679942.8803557871
93,holdout,7007,6477,530,4998,0.9364130561741411,0.93523234,-0.0011806955133412786,-3.073106614262603e-05,-0.00828573425409367,0.008633361548715489,-7.716848507379083,251109.03967874486
94,dev,17583,16296,1287,12262,0.9437598126625416,0.9415194,-0.0022404214008823293,-0.0006296044614901485,-0.006026549228182592,0.004671122627349774,-433.54811771076356,688603.9477621256
94,holdout,6994,6414,580,4962,0.944758255855945,0.9457437,0.0009854298316135115,-0.0069169739321457814,-0.015657131481897107,0.0013146453610068001,-1718.4369881545067,248437.68460197357
95,dev,17542,16046,1496,11901,0.9524974826215828,0.950268,-0.002229503062814307,-0.0005365531049703755,-0.005544237947340061,0.004466590882784861,-373.1695855297414,695494.2242862342
95,holdout,6984,6299,685,4836,0.9528518444627102,0.9526909,-0.00016094114472325178,-0.007902610703945575,-0.01627021623174554,0.0005785515799498627,-1952.0896875573792,247018.32858636824
96,dev,17462,15673,1789,11521,0.9615702358043765,0.9591016,-0.002468596041727361,-0.0006682078471313694,-0.005155484921556198,0.003626037267258546,-459.16089561998564,687152.8037139536
96,holdout,6958,6132,826,4592,0.9621106096083482,0.9597195,-0.002391105368295994,-0.008194040210140233,-0.015387914929065315,-0.0008931637797001335,-2063.2428649477783,251797.99122714676
97,dev,17335,15071,2264,10703,0.9699741467273897,0.96778584,-0.0021883329127788953,0.00043723940078582994,-0.00322256537616597,0.004079430658143216,305.6957605489123,699149.6191777315
97,holdout,6898,5850,1048,4221,0.9705017808563688,0.9681197,-0.0023821227367107683,-0.004014998944121169,-0.00999061566508001,0.0020924567072282837,-1033.1443269863412,257321.1951896249
98,dev,17034,14237,2797,9860,0.9781072458078698,0.97608346,-0.0020238012619682383,-0.0028741628731563025,-0.006484581149642562,0.0005222415853680431,-1962.5554232185464,682826.7950811493
98,holdout,6811,5460,1351,3829,0.9783423874841068,0.97591573,-0.0024266365683559095,-0.0037556821769160463,-0.008987636400695867,0.001579719890780572,-939.1479683475849,250060.55467631714
99,dev,15594,12269,3325,8069,0.9867642831395255,0.98447305,-0.0022912209502680397,-0.0028805710095252362,-0.006023620643463111,9.52194068092892e-05,-1796.656197425918,623715.295156718
99,holdout,6236,4500,1736,2964,0.987668739438057,0.9856667,-0.002002072771390279,-0.0011359506749458784,-0.005359769789867179,0.002739755192271229,-255.1933661129275,224651.80200283436
