month,rule,delay,trades,pnl_usd,capital_usd,in_play_share,scope
2025-10,random,300,201,1060.41684651768,9972.471869875886,0.0,pregame
2025-11,z,0,1212,-1433.6358141478372,39361.89085804335,0.0,pregame
2025-11,z,60,1100,-3809.2197214699436,37832.47068095436,0.0,pregame
2025-11,z,300,1138,-4212.781096571284,34190.135195598414,0.0,pregame
2025-11,random,0,1025,-2471.516599021026,35119.19999589243,0.0,pregame
2025-11,random,60,1039,-1717.5975390594938,33961.33626084943,0.0,pregame
2025-11,random,300,931,-517.3247483382918,29410.513729637478,0.0,pregame
2025-12,z,0,1039,-622.2144312655421,31078.624041813488,0.0,pregame
2025-12,z,60,1044,-2254.187926250292,30614.286643480136,0.0,pregame
2025-12,z,300,985,-2045.869930720692,27335.69731176815,0.0,pregame
2025-12,random,0,623,-132.02419883677632,18269.06790840869,0.0,pregame
2025-12,random,60,613,163.5091626677076,18348.43802422887,0.0,pregame
2025-12,random,300,599,14.679990132214243,19114.271585500377,0.0,pregame
2026-01,z,0,2740,223.87406304186425,78424.324802246,0.0,pregame
2026-01,z,60,2763,1747.3841903131702,76889.51533289233,0.0,pregame
2026-01,z,300,2820,-5429.162489653269,73413.25067387722,0.0,pregame
2026-01,random,0,1533,156.8734611968922,40621.22558528905,0.0,pregame
2026-01,random,60,1447,-665.9034553695916,39149.06285742033,0.0,pregame
2026-01,random,300,1359,420.86086185591046,36719.36259843552,0.0,pregame
2026-02,z,0,926,-699.8485020405401,21340.698520790556,0.0,pregame
2026-02,z,60,898,-2702.850608114361,20926.98763676,0.0,pregame
2026-02,z,300,834,-2406.8493651286167,20169.149365666868,0.0,pregame
2026-02,random,0,2432,-689.405909036424,58977.03017246317,0.0,pregame
2026-02,random,60,2230,723.1213530147847,56499.82692815394,0.0,pregame
2026-02,random,300,2081,-632.2231269430844,52972.206129387596,0.0,pregame
2026-03,z,0,686,149.15426470397318,15503.555574458005,0.0,pregame
2026-03,z,60,622,1367.5535961640894,15908.321423857655,0.0,pregame
2026-03,z,300,539,553.6414019641732,14259.91259555037,0.0,pregame
2026-03,random,0,207,-723.4455742236286,5182.948037829379,0.0,pregame
2026-03,random,60,199,-406.9613661945385,5257.092791956307,0.0,pregame
2026-03,random,300,182,-1056.2053582561116,4424.725936681106,0.0,pregame
2026-04,z,0,923,3224.643905605102,24475.176255682127,0.0,pregame
2026-04,z,60,934,2769.906609546869,24221.22646784917,0.0,pregame
2026-04,z,300,841,1496.9111564217537,21453.88274138864,0.0,pregame
2026-04,random,0,1301,1786.2307575415175,32676.362891461635,0.0,pregame
2026-04,random,60,1191,794.5656917391312,31429.954386562425,0.0,pregame
2026-04,random,300,1086,1924.0620849965385,28550.284394167815,0.0,pregame
2026-05,z,0,164,-230.5987979315068,4052.8872835349052,0.0,pregame
2026-05,z,60,162,24.898653416731577,3864.3211799342153,0.0,pregame
2026-05,z,300,166,134.63184443538677,4176.936446100181,0.0,pregame
2026-05,random,0,253,703.567482429449,7557.455267450682,0.0,pregame
2026-05,random,60,237,438.7865953583058,7277.915203051491,0.0,pregame
2026-05,random,300,236,563.6111026232038,6832.203246173072,0.0,pregame
2026-06,z,0,281,-77.91030553486866,7347.6042150969715,0.0,pregame
2026-06,z,60,278,254.266035020667,7279.9934855446045,0.0,pregame
2026-06,z,300,266,-292.25083627825165,6413.287974397115,0.0,pregame
2026-06,random,0,464,-798.7818667052609,12967.257777559265,0.0,pregame
2026-06,random,60,442,196.08239733215055,11680.513174665804,0.0,pregame
2026-06,random,300,387,-2001.4385369090246,11380.993603275223,0.0,pregame
2026-07,z,0,1030,-1406.0302925848237,27388.044783533263,0.0,pregame
2026-07,z,60,883,1581.7481055342778,25619.51034304826,0.0,pregame
2026-07,z,300,710,1621.7645938154649,22080.596973855907,0.0,pregame
2026-07,random,0,454,292.06121000086875,14898.34376689707,0.0,pregame
2026-07,random,60,442,-373.5143660550207,13127.990196708633,0.0,pregame
2026-07,random,300,386,-1490.100238163303,12404.304023386427,0.0,pregame
2026-08,z,0,649,-1237.7348321021902,18376.78193388207,0.0,pregame
2026-08,z,60,558,-1136.031670466083,17050.462215399384,0.0,pregame
2026-08,z,300,524,462.18578289516273,16465.543496626626,0.0,pregame
2026-08,random,0,1010,1200.4079831018541,30224.70152038423,0.0,pregame
2026-08,random,60,1004,846.1001519212259,28928.78347807127,0.0,pregame
2026-08,random,300,674,388.63034279544513,19084.196452515716,0.0,pregame
2025-10,z,0,178,338.19176622666,5061.940928939039,0.11235955056179775,soccer
2025-10,z,5,174,355.68505829294327,5061.940928939039,0.09195402298850575,soccer
2025-10,z,30,170,711.6467317391852,5108.386688488085,0.08823529411764706,soccer
2025-10,random,0,178,338.19176622666,5061.940928939039,0.11235955056179775,soccer
2025-10,random,5,174,355.68505829294327,5061.940928939039,0.09195402298850575,soccer
2025-10,random,30,170,711.6467317391852,5108.386688488085,0.08823529411764706,soccer
2025-11,z,0,521,355.73196885543905,5500.0,0.0345489443378119,soccer
2025-11,z,5,565,255.1184864469417,5500.0,0.033628318584070796,soccer
2025-11,z,30,405,368.9935341571202,5500.0,0.027160493827160494,soccer
2025-11,random,0,296,-1192.090487807513,5500.0,0.057432432432432436,soccer
2025-11,random,5,271,-1112.4568297573655,5500.0,0.05904059040590406,soccer
2025-11,random,30,285,-1082.942138229525,5500.0,0.05964912280701754,soccer
2025-12,z,0,1525,5698.4804170070765,34978.972464541934,0.22950819672131148,soccer
2025-12,z,5,1690,6854.207908950964,34820.1580613401,0.23550295857988165,soccer
2025-12,z,30,1586,4511.141506107375,34530.040604922775,0.25031525851197983,soccer
2025-12,random,0,2707,-564.9015373858367,36216.40841251114,0.04322127816771334,soccer
2025-12,random,5,2452,-1148.6419102567359,36237.408413911195,0.03915171288743882,soccer
2025-12,random,30,2190,-571.8622491823378,36172.16820639619,0.0821917808219178,soccer
2026-01,z,0,2352,3628.641346911277,44511.46386620936,0.7087585034013606,soccer
2026-01,z,5,2422,569.926274837439,42911.74934727041,0.7146985962014863,soccer
2026-01,z,30,2275,2407.69960359649,43487.28129580479,0.7151648351648352,soccer
2026-01,random,0,1867,-3524.6695998561054,33173.1708181407,0.44831280128548473,soccer
2026-01,random,5,1928,-3065.842206807216,32576.54129777935,0.4450207468879668,soccer
