sport,bucket,fills,usd,capital_usd,avg_price,won_pct,fills_won_pct,edge_pts,roi_after_fee,ci_lo,ci_hi
tennis,"[0.96, 0.97)",30658,10688756.0,10700428.0,0.9664018750190735,0.9583389163017273,0.9690782427787781,-0.008062958717346191,-0.009408692001910884,-0.03464329899282848,0.009440339844135032
tennis,"[0.97, 0.98)",64995,25038636.0,25060660.0,0.9737856984138489,0.9687756299972534,0.9686129689216614,-0.005010068416595459,-0.006003725865700765,-0.0237250833343838,0.007296791712728844
tennis,"[0.98, 0.99)",65074,24900740.0,24914288.0,0.9832237958908081,0.9763237833976746,0.9769185781478882,-0.006900012493133545,-0.007565785990865827,-0.02564241756874622,0.003758882172300611
tennis,"[0.99, 1.0)",66547,35737048.0,35741352.0,0.9958487749099731,0.9925946593284607,0.9917201399803162,-0.003254115581512451,-0.0033803322186962744,-0.009261620481859684,0.0010976457390443933
esports,"[0.5, 0.55)",657657,91924912.0,93168448.0,0.5217699408531189,0.509584903717041,0.504848301410675,-0.01218503713607788,-0.03595543250893894,-0.08805384005254069,0.014059609022001126
esports,"[0.55, 0.6)",648759,103530544.0,104840600.0,0.5714163184165955,0.5490710735321045,0.5555283427238464,-0.022345244884490967,-0.051498509408844484,-0.11467622161957501,0.009103931977730864
esports,"[0.6, 0.65)",714234,119256528.0,120546432.0,0.6250801086425781,0.6561548709869385,0.6143434643745422,0.03107476234436035,0.03882437557760319,-0.016810569241258035,0.09384844273934956
esports,"[0.65, 0.7)",562414,94110792.0,94974616.0,0.6781988143920898,0.7141786813735962,0.6730557680130005,0.03597986698150635,0.04357440767206536,0.001749124489778267,0.08376372921071955
esports,"[0.7, 0.75)",401315,73214704.0,73756192.0,0.7261005640029907,0.751775324344635,0.7247947454452515,0.025674760341644287,0.027416414117838114,-0.017040449281198196,0.07294186951240551
esports,"[0.75, 0.8)",419620,74578344.0,75041392.0,0.7703219652175903,0.7479067444801331,0.7525975704193115,-0.022415220737457275,-0.03568792197889425,-0.07840698612871726,0.003991908911972536
esports,"[0.8, 0.85)",367045,66196564.0,66512236.0,0.8211986422538757,0.8365493416786194,0.8140064477920532,0.015350699424743652,0.014143885730416545,-0.017314852453952482,0.042476967905559784
esports,"[0.85, 0.9)",358301,74830160.0,75065360.0,0.8757391571998596,0.8677783608436584,0.8631513714790344,-0.007960796356201172,-0.012543655886020464,-0.0586318316089218,0.024890347257065546
esports,"[0.9, 0.925)",103001,22476148.0,22529182.0,0.9140875935554504,0.9076642394065857,0.904486358165741,-0.006423354148864746,-0.00931791998438443,-0.04103020307011658,0.019180448327871698
esports,"[0.925, 0.95)",137213,32741632.0,32791798.0,0.9400779604911804,0.9414801597595215,0.9313403367996216,0.0014021992683410645,-1.4656027569604875e-05,-0.021570408051911624,0.016556886646497085
esports,"[0.95, 0.96)",37661,9439854.0,9450282.0,0.9580652117729187,0.946739137172699,0.9454607963562012,-0.011326074600219727,-0.012903004842977057,-0.036167314405666076,0.006429917099338109
esports,"[0.96, 0.97)",17848,7081203.5,7087884.0,0.9664653539657593,0.9531775116920471,0.9550089836120605,-0.013287842273712158,-0.014656185185840474,-0.051432465150430456,0.011396357168505495
esports,"[0.97, 0.98)",35079,13202102.0,13210750.0,0.9738937020301819,0.9551591277122498,0.9647367596626282,-0.01873457431793213,-0.019914074254411,-0.04655583641169397,0.0019047388612954618
esports,"[0.98, 0.99)",40664,22369730.0,22378372.0,0.985233724117279,0.9826066493988037,0.9817774891853333,-0.002627074718475342,-0.0030229600211216312,-0.01261226643235167,0.004671504096936314
esports,"[0.99, 1.0)",58334,55351600.0,55356408.0,0.9962196350097656,0.9955362677574158,0.9922000765800476,-0.0006833672523498535,-0.00077196577043104,-0.0039615861660799185,0.0017000145480195754
basketball,"[0.5, 0.55)",646460,129938304.0,130394960.0,0.5225133895874023,0.4927404224872589,0.5118274688720703,-0.029772967100143433,-0.059989386982152476,-0.1348885280543958,0.012041343806743725
basketball,"[0.55, 0.6)",661076,139818688.0,140335616.0,0.5703938603401184,0.5603088736534119,0.5526822805404663,-0.010084986686706543,-0.02117815801776483,-0.10627044994138374,0.059153353168390994
basketball,"[0.6, 0.65)",737600,158050480.0,158536016.0,0.6243640780448914,0.5861188769340515,0.5909937620162964,-0.038245201110839844,-0.06382532571476292,-0.1374729518574988,0.014726520432181412
basketball,"[0.65, 0.7)",626796,152945136.0,153382240.0,0.6807329654693604,0.6641042828559875,0.6686689257621765,-0.016628682613372803,-0.02767128789018301,-0.10772141720804075,0.049668611096451556
basketball,"[0.7, 0.75)",410651,106419656.0,106662584.0,0.7264864444732666,0.7576510310173035,0.7197693586349487,0.031164586544036865,0.03985062507435032,-0.026274846320133053,0.09904396019585185
basketball,"[0.75, 0.8)",459381,125757960.0,126010376.0,0.7707749605178833,0.7816278338432312,0.7613962888717651,0.0108528733253479,0.012260070185562372,-0.05151017991175096,0.06542132795661595
basketball,"[0.8, 0.85)",439153,117499928.0,117639680.0,0.8212689757347107,0.7900151610374451,0.7872609496116638,-0.031253814697265625,-0.03895978664684807,-0.09499356154584046,0.011369675530169703
basketball,"[0.85, 0.9)",403654,127432832.0,127580832.0,0.874932587146759,0.8369942903518677,0.8515535593032837,-0.03793829679489136,-0.044210756043890215,-0.09353931105353877,0.002877097517700054
basketball,"[0.9, 0.925)",126483,40208580.0,40246112.0,0.914166271686554,0.8999555110931396,0.9131345748901367,-0.014210760593414307,-0.016399934500647258,-0.050152132685801376,0.014189589624902925
basketball,"[0.925, 0.95)",168224,56807756.0,56847112.0,0.9401982426643372,0.9267953038215637,0.9428440928459167,-0.013402938842773438,-0.014955333255736409,-0.06027983597404072,0.01614939967603598
basketball,"[0.95, 0.96)",42917,18263068.0,18271390.0,0.9584391713142395,0.9449852705001831,0.9653750061988831,-0.013453900814056396,-0.014471648483167747,-0.04136261157596307,0.008301538415725744
basketball,"[0.96, 0.97)",18586,9598942.0,9602180.0,0.9666670560836792,0.9760541319847107,0.9757344126701355,0.009387075901031494,0.00933677775407727,-0.004159497191449236,0.01997766010542425
basketball,"[0.97, 0.98)",45442,22130032.0,22136404.0,0.9734418988227844,0.9686213731765747,0.9778178930282593,-0.004820525646209717,-0.005237456045288559,-0.02405567941651954,0.009134225550165319
basketball,"[0.98, 0.99)",55989,35581352.0,35586256.0,0.9847673177719116,0.9861979484558105,0.9836217761039734,0.0014306306838989258,0.0013214951789734296,-0.005373402952868338,0.007005091921598197
basketball,"[0.99, 1.0)",97886,120117600.0,120121120.0,0.9964385628700256,0.9959008097648621,0.9890178442001343,-0.0005377531051635742,-0.000573510139169819,-0.0033269391307851324,0.0015363019861809489
american_football,"[0.5, 0.55)",104328,46857308.0,46901528.0,0.5220528841018677,0.4902048707008362,0.5526416897773743,-0.031848013401031494,-0.060701117114674616,-0.23270363618653994,0.10879976504887875
american_football,"[0.55, 0.6)",99308,49317384.0,49421688.0,0.5691742300987244,0.5853947401046753,0.5795505046844482,0.016220510005950928,0.025896815484987266,-0.13834175427375525,0.18168623235858075
american_football,"[0.6, 0.65)",124220,66958296.0,67011392.0,0.6260123252868652,0.6338707208633423,0.6221703290939331,0.00785839557647705,0.01052133995422396,-0.14306001501006882,0.15562834025646025
american_football,"[0.65, 0.7)",97435,47703304.0,47761056.0,0.6805975437164307,0.6983360052108765,0.693949818611145,0.0177384614944458,0.023744883168133998,-0.1530215792099899,0.16735028256547496
american_football,"[0.7, 0.75)",61303,33876792.0,33937936.0,0.7235854864120483,0.7804273962974548,0.7291812896728516,0.056841909885406494,0.07593263264458876,-0.05830143922149249,0.1792621996587003
american_football,"[0.75, 0.8)",75624,47574280.0,47594356.0,0.7701293230056763,0.7438296675682068,0.7475007772445679,-0.026299655437469482,-0.033761720326918314,-0.15180169221256506,0.07225531219118755
american_football,"[0.8, 0.85)",63197,33384250.0,33403174.0,0.8188158273696899,0.750596821308136,0.7908128499984741,-0.06821900606155396,-0.08492881369974231,-0.19399587178805514,0.009943397574654964
american_football,"[0.85, 0.9)",56635,36779244.0,36795200.0,0.8751571774482727,0.9239092469215393,0.9027280211448669,0.0487520694732666,0.055279402532810024,0.011694445354973666,0.09048889037836802
american_football,"[0.9, 0.925)",16340,10439542.0,10442402.0,0.9141027331352234,0.9023476243019104,0.9124234914779663,-0.011755108833312988,-0.012748351459845519,-0.08674663265768501,0.04563625699131245
american_football,"[0.925, 0.95)",23058,14469775.0,14475078.0,0.9400015473365784,0.9499438405036926,0.9491716623306274,0.009942293167114258,0.010208622125284221,-0.025787617580840267,0.03744384996117239
american_football,"[0.95, 0.96)",7035,4098864.5,4099505.25,0.958183765411377,0.9663078784942627,0.9657427072525024,0.008124113082885742,0.008360902673265702,-0.02065879125223275,0.02978357824017982
american_football,"[0.96, 0.97)",2563,2369647.0,2369910.75,0.9669011831283569,0.9695349931716919,0.9793211221694946,0.002633810043334961,0.0026279122111878277,-0.040201913842724854,0.031631448012765746
american_football,"[0.97, 0.98)",6648,4814926.0,4815278.0,0.9737555384635925,0.9815817475318909,0.9756317734718323,0.00782620906829834,0.00795591718732598,-0.007035230340872266,0.019285665580761016
american_football,"[0.98, 0.99)",8094,8155288.5,8155620.0,0.9842959046363831,0.9922770857810974,0.9857919216156006,0.007981181144714355,0.008065159677059754,-0.00036106336674015437,0.013589669521412438
american_football,"[0.99, 1.0)",13476,27992456.0,27992728.0,0.9965750575065613,0.9974660873413086,0.992950439453125,0.0008910298347473145,0.0008862788547944946,-0.002201656336762611,0.0029713856384436447
soccer,"[0.5, 0.55)",926874,228800864.0,231617760.0,0.5202793478965759,0.5242354273796082,0.4922977685928345,0.0039560794830322266,-0.0038052675827441908,-0.11049525106329594,0.10120727836258928
soccer,"[0.55, 0.6)",896542,223450080.0,225847424.0,0.5725273489952087,0.5947393178939819,0.5778568983078003,0.022211968898773193,0.025897912558618424,-0.09865570751539796,0.13790734150729528
soccer,"[0.6, 0.65)",957532,294321792.0,297102784.0,0.6250643134117126,0.6525418162345886,0.6488848328590393,0.027477502822875977,0.03530871116213915,-0.08293756273696608,0.14578298944536006
soccer,"[0.65, 0.7)",739739,194841696.0,196357552.0,0.678148627281189,0.6330867409706116,0.6842102408409119,-0.04506188631057739,-0.07508483319635251,-0.20999585161069215,0.04936105535440237
soccer,"[0.7, 0.75)",568838,148300064.0,149319504.0,0.72538822889328,0.7154486179351807,0.6967414021492004,-0.009939610958099365,-0.020719622746465022,-0.12297061914027871,0.07046527376893594
soccer,"[0.75, 0.8)",645075,168287216.0,169278464.0,0.7708874344825745,0.8055046200752258,0.7512862682342529,0.03461718559265137,0.03903053892448917,-0.0320115049671488,0.10237509301675009
soccer,"[0.8, 0.85)",626048,141155216.0,141870608.0,0.8217609524726868,0.8016378283500671,0.7864412665367126,-0.02012312412261963,-0.02866630616362434,-0.11048812173704123,0.04314890364727017
soccer,"[0.85, 0.9)",623854,156343296.0,156870944.0,0.875647783279419,0.8583784699440002,0.8589814305305481,-0.0172693133354187,-0.02326189394404848,-0.09990926987521964,0.031975112949417246
