side,threshold,sport,period,signals,bets,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,in_play_share
underdog <= 7%,0.925,esports,all,4027,3994,0.056548285059972246,0.04306459799408913,-0.01348368706588312,-0.3295489323368236,-0.5347745686739576,-0.10686819856695194,-10544.542839925665,0.9884827240861291
underdog <= 7%,0.925,basketball,dev,2675,2641,0.061096743363028394,0.05263157933950424,-0.008465164023524152,-0.03510087704972962,-0.3267123844682567,0.30378765514856876,-1290.649981022583,0.9859901552442256
underdog <= 7%,0.925,basketball,holdout,159,159,0.0546843835486556,0.0628930851817131,0.008208701633057501,-0.33412307197910196,-0.8695848394831827,0.4910587210800619,-506.1061465922212,1.0
underdog <= 7%,0.925,basketball,all,2834,2800,0.06073261293071222,0.053214285522699356,-0.007518327408012865,-0.04693172794438699,-0.33022866750830654,0.26154694198602485,-1796.7561276148033,0.9867857142857143
underdog <= 7%,0.925,american_football,dev,787,743,0.05872177015435362,0.039030954241752625,-0.019690815912600995,-0.6935171552744417,-0.8533493148063264,-0.49651467380593495,-7036.747912785338,0.9851951547779273
underdog <= 7%,0.925,american_football,holdout,105,97,0.058459113245186656,0.0670103058218956,0.008551192576708944,1.1528265010480954,-0.9465728843323683,4.544231209452543,1498.9080736609965,1.0
underdog <= 7%,0.925,american_football,all,892,840,0.05869143953508076,0.04226190596818924,-0.016429533566891523,-0.48379491303263755,-0.7890695330461841,-0.014859909581596997,-5537.839839124341,0.986904761904762
underdog <= 7%,0.925,soccer,dev,3688,3624,0.056899801560828696,0.05629139021039009,-0.0006084113504386049,-0.09641465843492009,-0.34949412806264135,0.2018037157261487,-2512.770302095423,0.9704746136865342
underdog <= 7%,0.925,soccer,holdout,1672,1615,0.05451753015136894,0.046439629048109055,-0.008077901103259885,-0.1911502949788581,-0.599959186046909,0.361363040138113,-2924.859881597641,0.9820433436532507
underdog <= 7%,0.925,soccer,all,5360,5239,0.05616543081712236,0.05325443670153618,-0.0029109941155861796,-0.13145968464091354,-0.3540518816606139,0.14522780821774944,-5437.6301836930625,0.974040847489979
underdog <= 7%,0.925,cricket,dev,271,269,0.056564092022006754,0.048327136784791946,-0.008236955237214807,-0.13300524936247865,-0.8039808409410019,0.7559325104113481,-303.89834393705354,0.9851301115241635
underdog <= 7%,0.925,cricket,holdout,114,113,0.05214473109824204,0.022123893722891808,-0.03002083737535023,-0.885758796296577,-1.0,-0.6384934665363633,-1089.3539882750763,1.0
underdog <= 7%,0.925,cricket,all,385,382,0.05525679415712348,0.040575917810201645,-0.014680876346921834,-0.39640563261555556,-0.8231887578253649,0.22366467568013162,-1393.2523322121294,0.9895287958115183
underdog <= 7%,0.925,baseball,dev,2412,2384,0.05851371575110973,0.04739932715892792,-0.011114388592181813,-0.2586147052418392,-0.5062674040511224,0.047297423538318846,-6232.22133497457,0.9962248322147651
underdog <= 7%,0.925,baseball,holdout,974,972,0.059318864701431696,0.05246913433074951,-0.006849730370682185,-0.322119619256199,-0.7302176894963175,0.22872691675719578,-3403.7369292416597,1.0
underdog <= 7%,0.925,baseball,all,3386,3356,0.058746911454242316,0.04886769875884056,-0.009879212695401755,-0.2779723650708017,-0.512939010528503,-0.013538580409656664,-9635.958264216228,0.9973182359952324
underdog <= 7%,0.925,mma_boxing,dev,280,275,0.03891587652266026,0.03454545512795448,-0.004370421394705774,-0.39939809712251206,-0.943080533758745,0.7484631372485141,-865.6287922713149,1.0
underdog <= 7%,0.925,mma_boxing,holdout,113,113,0.057595821015075245,0.06194690242409706,0.004351081409021816,1.1240685364211502,-0.7919975800533666,4.1324591622874784,1600.7612893034768,1.0
underdog <= 7%,0.925,mma_boxing,all,393,388,0.04435616963514194,0.042525772005319595,-0.0018303976298223446,0.20469181458990326,-0.7903871020490439,1.6479480310724732,735.1324970321616,1.0
underdog <= 7%,0.925,hockey,dev,1531,1500,0.051672607542015615,0.041333332657814026,-0.01033927488420159,-0.32400553126392784,-0.6121775588149273,0.008326583395704171,-3840.679414074229,0.994
