selected,active_p2,p2_markets,p2_staked,p2_roi,p2_roi_net_fee,copy_d0_roi,copy_d0_ci,copy_d0_trades,copy_d5_roi,copy_d5_ci,copy_d5_trades,copy_d30_roi,copy_d30_ci,copy_d30_trades,copy_d30_prop_roi,copy_d30_prop_ci,copy_d60_roi,copy_d60_ci,copy_d60_trades,rule,p1_roi,p1_median_z,family
50.0,7,793.0,3945656.8031066805,-0.08246299071171251,-0.08382936189874986,-0.004154943735136187,-0.101..+0.095,1553.0,-0.024092717866339552,-0.115..+0.076,1528.0,-0.03604546373100426,-0.125..+0.059,1470.0,-0.08199709684468671,-0.207..+0.023,-0.10889577765404918,-0.195..-0.016,1465.0,pnl,0.13602405351373084,0.9095512818049543,baseball
50.0,23,428.0,417452.37130362523,0.1758486426609507,0.1588536224967468,-0.05649144019688441,-0.227..+0.118,552.0,-0.0865532654290122,-0.241..+0.071,537.0,-0.0953859697471244,-0.241..+0.060,523.0,-0.050232008125625616,-0.253..+0.137,-0.057784797353356745,-0.211..+0.104,518.0,roi,0.2750539317890991,1.4025186662709022,baseball
50.0,17,3650.0,1569229.4800226649,0.014512387983155055,0.0005688947603103976,0.005351429230343947,-0.038..+0.050,10601.0,-0.007226872218372807,-0.048..+0.033,9892.0,0.002046003478678526,-0.042..+0.045,9574.0,-0.025106803057279335,-0.058..+0.005,-0.03473659399062432,-0.076..+0.005,9573.0,z,0.13524689784974664,2.0860172078316204,baseball
50.0,11,120.0,23838.343352756143,-0.173084181108574,-0.18159686084995558,0.03648379006529495,-0.069..+0.164,148.0,0.06283778066596499,-0.036..+0.175,147.0,0.030077246026221985,-0.043..+0.113,136.0,0.060602117935414736,-0.066..+0.194,0.023061330341561295,-0.058..+0.121,140.0,win_rate,-0.014219327399873711,0.22338636877845786,baseball
50.0,7,1889.0,12767430.813135471,-0.0353798804853785,-0.04501949932685426,-0.024513635699082995,-0.081..+0.029,4764.0,-0.026817575098126982,-0.084..+0.025,4684.0,-0.0010727342723062926,-0.055..+0.053,4623.0,-0.02035442675181906,-0.069..+0.029,-0.03778889617084635,-0.092..+0.018,4645.0,whales,0.008431293394274259,0.21186364616383402,baseball
4.0,3,2340.0,809287.958626076,0.018553591672458233,0.006360385243932774,0.00830576510992749,-0.036..+0.055,9784.0,-0.0006210662379458018,-0.043..+0.044,9193.0,0.007719667518540808,-0.036..+0.059,8887.0,-0.004674568256035025,-0.035..+0.029,-0.03213834374879008,-0.077..+0.012,8929.0,fdr,0.08211570781431331,4.132095969041026,baseball
,61561,,,-0.0070355005757611515,-0.02171160964739306,,,,,,,,,,,,,,,all takers,,,baseball
50.0,24,2483.0,18441751.845676087,0.09765673975140035,0.09654413045077621,-0.03395964481352614,-0.101..+0.034,3315.0,0.02142960867675056,-0.052..+0.088,3280.0,0.01660299838936562,-0.057..+0.081,3107.0,0.03603040952957313,-0.026..+0.096,0.05745446542975643,-0.012..+0.122,3059.0,pnl,0.19979298470284035,1.3024708675275543,hockey
50.0,11,274.0,438998.2952090321,-0.24947277797264422,-0.24959085944138326,-0.2881460156945524,-0.491..-0.085,170.0,-0.21926033120565044,-0.439..-0.007,173.0,-0.18066072675930517,-0.388..+0.032,170.0,-0.002723737241172198,-0.553..+0.544,-0.11689225841859842,-0.332..+0.111,177.0,roi,0.5102274505797043,1.1520639668417538,hockey
50.0,35,2035.0,1475310.9182833422,-0.04984652432593725,-0.05035608663688864,-0.08100675956844755,-0.146..-0.014,2369.0,-0.02039370654168892,-0.086..+0.056,2669.0,-0.00401954701485209,-0.074..+0.071,2490.0,-0.027905606633210327,-0.088..+0.038,0.004758162566399924,-0.071..+0.087,2426.0,z,0.2459015903636191,2.614380052713483,hockey
50.0,25,595.0,146793.73152743664,-0.15189761094914464,-0.15191207408884436,-0.006998540054323212,-0.050..+0.028,527.0,-0.017010578156091003,-0.057..+0.019,531.0,-0.02713277429028829,-0.069..+0.014,511.0,-0.17517505892244503,-0.397..-0.012,-0.0007978293471995782,-0.038..+0.037,494.0,win_rate,0.0009761310919694688,0.4693499802693408,hockey
50.0,31,4296.0,49291003.40167047,0.053166625246788196,0.05033393359333762,-0.005352376373594954,-0.069..+0.060,3924.0,0.03207542179622364,-0.039..+0.099,3679.0,0.018761987840179087,-0.050..+0.086,3711.0,0.02989416716779113,-0.014..+0.079,0.025988269684464667,-0.042..+0.093,3412.0,whales,0.0023862352844838323,0.3941937405888741,hockey
17.0,14,796.0,817174.0042836762,0.04470742025566302,0.044131313554050235,-0.10274206816882789,-0.175..-0.025,1520.0,-0.0038912030930759525,-0.097..+0.089,1767.0,-0.022165273315675294,-0.099..+0.062,1645.0,0.011000084858929065,-0.059..+0.077,0.007823422709855896,-0.088..+0.103,1599.0,fdr,0.14483824307090018,4.456908054035609,hockey
,97248,,,-0.0004873124386823977,-0.002830102613785687,,,,,,,,,,,,,,,all takers,,,hockey
50.0,26,422.0,13839241.921895294,-0.10407270280387369,-0.10407333000865876,-0.20631536988291455,-0.437..+0.067,201.0,-0.2282999526262948,-0.458..+0.041,187.0,-0.20849103589817633,-0.447..+0.055,192.0,-0.214791191741643,-0.390..+0.005,-0.19715132627108167,-0.444..+0.061,182.0,pnl,0.1640097342183125,1.1250632151606297,american_football
50.0,33,335.0,4409894.533183803,-0.193947548296835,-0.19404133170945556,-0.09903395240368607,-0.409..+0.239,248.0,-0.07189418032051549,-0.390..+0.255,244.0,-0.10024424604232392,-0.433..+0.197,211.0,-0.17727362997635374,-0.484..+0.143,-0.11348903541829336,-0.428..+0.208,222.0,roi,0.36081467747874063,1.9197850765997169,american_football
50.0,38,491.0,3802496.3204212394,-0.16303825390460092,-0.1631197389011206,-0.021930745801612667,-0.257..+0.205,273.0,-0.07490679216402146,-0.311..+0.160,276.0,-0.08916186785689541,-0.329..+0.160,248.0,-0.15909019991536077,-0.410..+0.115,-0.1981456689743115,-0.420..+0.029,269.0,z,0.21716567341499313,2.71834627559647,american_football
50.0,26,213.0,836770.8581626823,-0.01139884338855895,-0.01418670858483876,0.013997558646713986,-0.114..+0.139,140.0,-0.011994315636532672,-0.147..+0.118,133.0,0.014596059007425116,-0.113..+0.140,133.0,0.11980599965805001,+0.038..+0.204,-0.02346674758480589,-0.164..+0.111,129.0,win_rate,0.0016639563295528692,0.3379316889467534,american_football
50.0,29,692.0,22962491.85823307,-0.10434903848160004,-0.10460648662810529,-0.03235637830966757,-0.210..+0.175,597.0,-0.10815454201212445,-0.251..+0.048,554.0,-0.014336423653318171,-0.188..+0.177,507.0,-0.18256989081745859,-0.329..-0.027,-0.17229012708482405,-0.323..-0.019,521.0,whales,0.02307590898519406,0.5320008225102648,american_football
