sport,pt,fills,games,usd,capital_usd,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi
soccer,53,210059,3617,51360996.0,51999332.0,0.5312454700469971,0.4749293029308319,-0.05631616711616516,-0.11640480735838847,-0.31017130923708885,0.08710286216440277
soccer,54,156195,3663,37316384.0,37766432.0,0.5408109426498413,0.532681405544281,-0.008129537105560303,-0.026799422840953182,-0.22236634288814972,0.15911890493226885
soccer,55,179716,3803,43717072.0,44192512.0,0.550943911075592,0.5322210788726807,-0.018722832202911377,-0.04454057921757361,-0.24179598768048471,0.1602956638632876
soccer,56,170984,3880,32774798.0,33137758.0,0.561061441898346,0.5533784031867981,-0.0076830387115478516,-0.02421636968773102,-0.16756633407976732,0.12065986381165936
soccer,57,178394,3888,47294360.0,47833456.0,0.5710856914520264,0.5365262627601624,-0.034559428691864014,-0.07133791117044419,-0.2600277950856071,0.1063645517745409
soccer,58,188182,3941,49671788.0,50168180.0,0.5811283588409424,0.6318534016609192,0.05072504281997681,0.07683342176584576,-0.11965158940616369,0.24921796725133394
soccer,59,179266,3931,49992044.0,50515516.0,0.5917367935180664,0.694722056388855,0.10298526287078857,0.16188212212039682,-0.039723187029122586,0.31583014372540225
soccer,60,186715,4000,49434504.0,49913328.0,0.6016864776611328,0.7312345504760742,0.1295480728149414,0.20358187278620715,0.042627560125207214,0.32687145518202704
soccer,61,170314,3850,53989936.0,54502700.0,0.6113374829292297,0.5785861015319824,-0.032751381397247314,-0.06258276022810515,-0.286750281201876,0.17213644166589837
soccer,62,143008,3821,48085832.0,48555208.0,0.6212114691734314,0.6382557153701782,0.017044246196746826,0.017208376558077602,-0.1823053754887839,0.19387885771263905
soccer,63,137777,3718,54501344.0,55011640.0,0.6314237713813782,0.7139540910720825,0.08253031969070435,0.12061870016188295,-0.04241321845366999,0.25062433238493986
soccer,64,189908,3802,53212352.0,53694696.0,0.6412309408187866,0.5746280550956726,-0.06660288572311401,-0.11146521409332587,-0.3052952451643859,0.09200136585550032
soccer,65,199290,3929,45134440.0,45557064.0,0.6515442132949829,0.6857945919036865,0.03425037860870361,0.04303080449878765,-0.12408308510440089,0.1715817990783902
soccer,66,144598,3842,45519488.0,45940336.0,0.6613236665725708,0.5329414010047913,-0.12838226556777954,-0.20185461116477285,-0.44918813584019973,0.06578004789107994
soccer,67,123083,3758,36361832.0,36673768.0,0.6707428693771362,0.6081885695457458,-0.06255429983139038,-0.1009901673476502,-0.28971922468009725,0.0901321159249538
soccer,68,151826,3851,35248144.0,35500232.0,0.6810898184776306,0.6838437914848328,0.0027539730072021484,-0.002903750848939142,-0.1739495984060153,0.14613124734376182
soccer,69,127037,3831,37917096.0,38163992.0,0.6911782622337341,0.6556764841079712,-0.03550177812576294,-0.05788107023296138,-0.2511586720757253,0.10240394036549348
soccer,70,151832,3989,34961380.0,35198976.0,0.7008077502250671,0.7075895667076111,0.006781816482543945,0.002969184223860423,-0.13164581422614224,0.13311984506658922
soccer,71,168634,3978,35291320.0,35538756.0,0.7112646102905273,0.6986529231071472,-0.012611687183380127,-0.024423789555531258,-0.1650723134454402,0.1034706397379409
soccer,72,134973,3962,36800592.0,37030108.0,0.7216312289237976,0.6551752090454102,-0.06645601987838745,-0.09657823080572153,-0.27833221575157174,0.06653187376184197
