dec,wallets,p1_z_median,p1_roi,p2_roi,p2_roi_net_fee,family
10,23.0,1.9584798610825598,0.2088310483890962,0.015133850382456092,0.000835634528698194,tennis
1,74.0,-1.8844698490291432,-0.17568764351737556,-0.005335184382488028,-0.01381554505065457,esports
2,74.0,-1.2160221643934825,-0.09182479560631779,-0.0021673629318021146,-0.008826640496154375,esports
3,74.0,-0.791800276483692,-0.08256793654143484,-0.017746140830796484,-0.026733869317937666,esports
4,73.0,-0.4703105578267623,-0.05216510865374151,-0.06975652719286697,-0.07429568280153927,esports
5,74.0,-0.17496684577387514,-0.014674736092157432,-0.010707003837695933,-0.017888231180823194,esports
6,74.0,0.1108823819932212,0.014771487183059914,-0.02337888867769643,-0.026868828924783456,esports
7,73.0,0.4160352571902535,0.042052774606877175,-0.043023764887667265,-0.04789846115293852,esports
8,74.0,0.7649725913319831,0.0640008514109744,-0.0058607185537942995,-0.013194833080988034,esports
9,74.0,1.2264935770111136,0.07949511364691926,0.011922666161458026,0.003019762445462325,esports
10,74.0,1.989652188447936,0.15596355070606135,0.029996282842220202,0.021848179892992776,esports
1,224.0,-2.000516278106448,-0.12472208259485537,-0.003360401566523545,-0.0054201614422348604,basketball
2,223.0,-1.204822873653882,-0.0817291465770291,0.006403347122773166,0.003356708928721471,basketball
3,223.0,-0.7985612475879995,-0.0608409178832826,0.007238007227527074,0.00522224844148818,basketball
4,223.0,-0.4668981468797686,-0.039024450291818634,-0.022508252158904198,-0.02377386979846918,basketball
5,223.0,-0.19737531585702908,-0.0168053843653547,0.013341674969656981,0.011514513927797483,basketball
6,223.0,0.05595178194303954,0.004150836060143334,0.11559766920710729,0.10964895246846128,basketball
7,223.0,0.32912270471185034,0.019988402772610905,-0.011456768353329302,-0.01398863923810149,basketball
8,223.0,0.6487988614772254,0.036385666107360944,0.014242617742422265,0.012127351614263995,basketball
9,223.0,1.1391593482595022,0.1080913924949886,-0.002085785563541252,-0.004651353517976418,basketball
10,223.0,1.8038689115572646,0.08218899836697484,0.012217018842445316,0.010688563540910237,basketball
1,16.0,-1.9835007408089247,-0.1525977353997634,-0.010264918613006872,-0.025079506790227038,baseball
2,16.0,-1.1251223799390342,-0.12835018510197707,-0.09903332738682807,-0.11335870840278203,baseball
3,15.0,-0.7599260951701701,-0.03080089312832553,-0.0599789324238857,-0.06861942530941291,baseball
4,16.0,-0.5243248434620889,-0.03570012912245434,0.009604512377008913,-0.0013421749149070186,baseball
5,16.0,-0.32917865776848954,-0.01600129077136659,0.07290799141870483,0.05811944737797896,baseball
6,15.0,-0.08662096843019697,-0.018985827891153346,-0.014066009000234223,-0.02937368756813008,baseball
7,16.0,0.06731789471424224,0.0015274900395647502,0.010379248614025007,0.0027299698381342313,baseball
8,15.0,0.3179958469093587,0.020227286763887634,0.08910196342410709,0.07616103954033895,baseball
9,16.0,0.6437603596396602,0.048605024882810134,0.06840044288700953,0.0550205242778489,baseball
10,16.0,1.83683300767807,0.08067945345566138,0.04051799186576881,0.025954358744807476,baseball
1,53.0,-1.7930334626044058,-0.1880229989635782,0.01474475976684675,0.014498221264116096,hockey
2,53.0,-1.1301133728850576,-0.13345447763110616,0.06244541439590376,0.061386709150632955,hockey
3,52.0,-0.7271971164467264,-0.10914372228336454,-0.045872174430379865,-0.046359823005678986,hockey
4,53.0,-0.4597864449580637,-0.05039847368104377,-0.041060873365351004,-0.0422739217751143,hockey
5,52.0,-0.16669600965200362,-0.017330248124683666,0.01541851893015006,0.014834473456680746,hockey
